Testing adventurer 10000 times...
Failure number 299: Adventure card failed (number of players = 3, handpos = 9, original deck count = 7 error number 2)
Failure number 300: Adventure card failed (number of players = 3, handpos = 0, original deck count = 3 error number 2)
Failure number 301: Adventure card failed (number of players = 2, handpos = 3, original deck count = 13 error number 2)
Failure number 302: Adventure card failed (number of players = 3, handpos = 17, original deck count = 0 error number 2)
Failure number 303: Adventure card failed (number of players = 2, handpos = 0, original deck count = 11 error number 2)
Failure number 304: Adventure card failed (number of players = 2, handpos = 5, original deck count = 21 error number 2)
Failure number 305: Adventure card failed (number of players = 3, handpos = 1, original deck count = 24 error number 2)
Failure number 306: Adventure card failed (number of players = 3, handpos = 1, original deck count = 0 error number 2)
Failure number 307: Adventure card failed (number of players = 2, handpos = 2, original deck count = 0 error number 2)
Failure number 308: Adventure card failed (number of players = 2, handpos = 7, original deck count = 21 error number 3)
Failure number 309: Adventure card failed (number of players = 2, handpos = 1, original deck count = 3 error number 2)
Failure number 310: Adventure card failed (number of players = 3, handpos = 0, original deck count = 10 error number 2)
Failure number 311: Adventure card failed (number of players = 3, handpos = 7, original deck count = 8 error number 3)
Failure number 312: Adventure card failed (number of players = 2, handpos = 0, original deck count = 11 error number 3)
Failure number 313: Adventure card failed (number of players = 2, handpos = 1, original deck count = 7 error number 2)
Failure number 314: Adventure card failed (number of players = 3, handpos = 5, original deck count = 9 error number 2)
Failure number 315: Adventure card failed (number of players = 2, handpos = 0, original deck count = 0 error number 2)
Failure number 316: Adventure card failed (number of players = 3, handpos = 4, original deck count = 2 error number 2)
Failure number 317: Adventure card failed (number of players = 3, handpos = 15, original deck count = 18 error number 2)
Failure number 318: Adventure card failed (number of players = 3, handpos = 1, original deck count = 5 error number 2)
Failure number 319: Adventure card failed (number of players = 2, handpos = 4, original deck count = 9 error number 2)
Failure number 320: Adventure card failed (number of players = 2, handpos = 0, original deck count = 9 error number 2)
Failure number 321: Adventure card failed (number of players = 2, handpos = 11, original deck count = 10 error number 2)
Failure number 322: Adventure card failed (number of players = 2, handpos = 4, original deck count = 22 error number 2)
Failure number 323: Adventure card failed (number of players = 2, handpos = 4, original deck count = 8 error number 2)
Failure number 324: Adventure card failed (number of players = 3, handpos = 2, original deck count = 17 error number 2)
